id_aluguel;cpf;placa;aluguel;devolucao;diaria;valor;observacao
1;211.983.664-78;DEA-7981;2022-03-17;2022-03-24;80;560;OK
2;258.537.606-02;CBC-4945;2022-04-02;2022-04-10;120;960;OK
3;726.222.683-51;BEE-7735;2022-04-18;2022-04-25;110;770;OK
4;226.213.963-64;CBA-4403;2022-05-04;2022-05-14;100;1000;OK
5;661.025.829-50;BBC-8504;2022-05-20;2022-05-27;90;630;OK
6;609.983.828-76;BEB-5885;2022-06-05;2022-06-14;90;910;Retrovisor direito quebrado
7;487.140.614-81;EDB-2475;2022-06-25;2022-06-30;150;750;OK
8;609.983.828-76;CBC-4945;2022-07-15;2022-07-22;120;840;OK
9;211.983.664-78;EDB-2475;2022-08-04;2022-08-08;150;600;OK
10;211.983.664-78;DEA-7981;2022-08-24;2022-08-30;80;580;Sem estepe
11;487.140.614-81;CBA-4403;2022-09-13;2022-09-20;100;700;OK
12;258.537.606-02;BBC-8504;2022-09-16;2022-09-24;90;720;OK
13;228.160.778-02;BEE-7735;2022-09-19;2022-09-24;110;550;OK
14;908.554.137-94;BEB-5885;2022-09-22;2022-09-27;90;550;Bancos sujos
15;609.983.828-76;CBA-4403;2022-09-25;2022-10-05;100;1000;OK
16;735.003.345-12;BEE-7735;2022-09-28;2022-10-05;110;770;OK
17;211.983.664-78;BBC-8504;2022-10-01;2022-10-05;90;360;OK
18;487.140.614-81;CBC-4945;2022-10-04;2022-10-13;120;1180;V�mito de beb�
19;226.213.963-64;DEA-7981;2022-10-07;2022-10-11;80;320;OK
20;487.140.614-81;CBC-4945;2022-10-16;2022-10-26;120;1200;OK
21;908.554.137-94;EDB-2475;2022-10-25;2022-10-30;150;750;OK
22;726.222.683-51;CBA-4403;2022-11-03;2022-11-13;100;1000;OK
23;228.160.778-02;BEB-5885;2022-11-12;2022-11-15;90;270;OK
24;908.554.137-94;BBC-8504;2022-11-21;2022-11-30;90;810;OK
25;726.222.683-51;DEA-7981;2022-11-30;2022-12-03;80;240;OK
26;211.983.664-78;CBC-4945;2022-12-09;2022-12-15;120;720;OK
